evidence_id,study_id,sample_family,source_type,title,authors,year,doi,url,design,country_climate,season,population,sample_size,activity,outcome_domain,comparison,input_definition_unit_aggregation,outcome_measure,finding_effect_uncertainty,condition_range,location_in_source,confounders_bias,applicability_limits,korea_directness,access_status,evidence_strength,strength_rationale,code_implication,conversion_note,search_ids
SW04,SW-S03,SAN_DIEGO_SURFER_COHORT_2013_2015_shared_with_QMRA_28558279,empirical_peer_reviewed,Acute Illness Among Surfers After Exposure to Seawater in Dry- and Wet-Weather Conditions,Arnold BF; Schiff KC; Ercumen A; Benjamin-Chung J; Steele JA; Griffith JF; Steinberg SJ; Smith P; McGee CD; Wilson R; Nelsen C; Weisberg SB; Colford JM Jr,2017,10.1093/aje/kwx019,https://academic.oup.com/aje/article/186/7/866/3813104,전향적 반복관찰 코호트,미국 샌디에이고; 겨울강우·도시유출 해안,2013–14/2014–15 겨울,성인서퍼; 중앙34세; 남성다수,654명;33377인일;10081서핑일;보정분석607명,surf/해수접촉,C,최근해수접촉없음 대 건조/강우후 접촉,24시간강우≥0.25cm 후3일 이내 입수; 질병위험기간 입수후3일,주간설문에서 일별 증상; 보정발생률비(IRR),"귀통증/감염 IRR: 건조1.86(95%CI1.27–2.71), 강우후3.28(1.95–5.51); 모두 비접촉 대비",2모니터링해변 중심; 입수중앙2시간,Methods Exposure;Results/Table3;PDFpp4–6,자기선택·자기보고·잔여교란; 보정시47명 제외,고노출 서퍼 연관성; 한국가족수영 인과효과/72시간 보편금지로 외삽불가,해외 간접,full_text_checked,중간,전향적 노출·증상추적과 보정; 무작위 아님,강수확률을 수질대용으로 쓰지 않음; 관측강우·유출·수질검사·공식통제 분리,0.25cm=2.5mm(×10); 연구노출정의로만 사용,sw-q02;sw-o02;sw-o05;sw-o06;sw-o17;sw-o20
SW05,SW-S03,SAN_DIEGO_SURFER_COHORT_2013_2015_shared_with_QMRA_28558279,empirical_peer_reviewed,Acute Illness Among Surfers After Exposure to Seawater in Dry- and Wet-Weather Conditions,Arnold BF; Schiff KC; Ercumen A; Benjamin-Chung J; Steele JA; Griffith JF; Steinberg SJ; Smith P; McGee CD; Wilson R; Nelsen C; Weisberg SB; Colford JM Jr,2017,10.1093/aje/kwx019,https://academic.oup.com/aje/article/186/7/866/3813104,전향적 반복관찰 코호트,미국 샌디에이고; 겨울강우·도시유출 해안,2013–14/2014–15 겨울,성인서퍼; 중앙34세; 남성다수,전체 코호트654명·33377인일; 배경 공변량 확보607명. 수질 매칭 하위집합5819관찰일(강우 후1358관찰일); 해당 보정 수질분석의 최종 사람 수·관찰일 수는 별도 확인하지 못함.,surf/해수접촉,C,강우후 장구균 1log10 증가,해변·날짜별 배양장구균 CFU/100mL 기하평균; 입수시간 가중,주간설문에서 일별 증상; 보정발생률비(IRR),위장관질환 보정IRR1.75(95%CI0.80–3.84); 비보정2.17(1.16–4.03),2모니터링해변 중심; 입수중앙2시간,Methods Statistical analysis;Results/Table4;PDFpp4–6; Results: Study population / Water quality and surfer exposure; PDF5번째페이지(수질매칭 하위집합),수질매칭부분집합·노출오분류·보정후CI가1 포함,장구균 단일값의 보편적 개인질병확률 추정 불가,해외 간접,full_text_checked,낮음,불확실성 큼; 보정후 방향성 확정불가,유의한 비보정치만 택하지 말 것; 수질을 선호점수로 환산 보류,원문 보정IRR; CFU와MPN 변환하지 않음,sw-q02;sw-o02;sw-o05;sw-o06;sw-o17;sw-o20
SW06,SW-S04,MACALUSO_2011_9_MASTER_SWIMMERS,empirical_peer_reviewed,Effects of three different water temperatures on dehydration in competitive swimmers,Macaluso F; Di Felice V; Boscaino G; Bonsignore G; Stampone T; Farina F; Morici G,2011,10.1016/j.scispo.2010.10.004,https://www.em-consulte.com/article/667850/figures/effects-of-three-different-water-temperatures-on-d,3수온 반복시험; 배정세부 미확인,실내풀; 실제국가 초록미확인(저자소속으로 추정안함),NR,남성경쟁마스터수영선수,9명,swim,C,23/27/32°C 모의5km경주,각수온5km; 직전/직후측정,체중·직장온도·발한율,"32°C에서 탈수/발한이 가장 큼; 직장온도27°C에서37.0±0.3→37.9±0.5°C,32°C에서36.9±0.4→38.0±0.4°C; ±정의 초록미확인",경주강도; 일반해수욕과 다름,출판사 Summary Methods/Results,소표본; 순서·측정법·수분섭취 원문미확인,고온 항상유리 가정 반증 방향;32°C 자체 안전경계로 사용불가,해외 간접,abstract_only;fulltext_paywall/repository403,낮음,원연구초록만; A/B 선호측정 아님,고온의 생리 부담을 무시하는 종합 적합도의 단조 보상은 채택하지 않음; A/B 선호의 수온 곡선은 이 연구로 검증하지 못함; 강도·노출시간 조건 필요.,초록원문값; 차이/효과크기 재계산안함,sw-q07;sw-q11;sw-o10;sw-o11;sw-o14;sw-o18
SW07,SW-S05,BUSAN_BEACH_MONITORING_2024_reuses_2022_2023,official_monitoring,해수욕장 수질 및 백사장 토양오염 조사,부산광역시 보건환경연구원 친수환경팀,2025,NR,https://www.busan.go.kr/humanframe/theme/ihe/assets/file/20250513busan_research_59.pdf,정기환경모니터링·기술보고; 동료심사미확인,한국 부산7해수욕장,2024년5–9월; 2022–23 비교재사용,환경시료; 사람대상아님,7해수욕장27지점;54회 장소별조사; 인원해당없음,swim/해수접촉,C,장소/연도별 미생물분포·강우후 부적합,장구균/대장균 MPN/100mL; 개장중2주당1회이상; 계절강수mm,수질검사·당시지침에 따른 장소평가,2024년54회중4회 부적합;7해변 중앙값은 모두 기준내. 강우·유출을 원인으로 해석하나 보정효과/CI없음,담수유입·반폐쇄성·우수관 등 장소차이,pp1–3 조사개요·표1/2; p7결론; p1–3 시각검증,채취횟수가 부적합/개장기간에 따라 다름; 연간강우단순비교,개별질병·시간별안전 연구아님; 과거합격이 현재합격 아님,한국환경에 직접; 선호/개인건강에 간접,full_text_checked;web_timeout후공식PDF직접다운로드,낮음,국내직접관측; 강우인과추론·건강결과 없음,계절중앙값으로 매시간안전표시 폐기; 샘플시각·장소·검사법 보존,보고서 수치 그대로; 현재법령경계 주장안함; CFU와MPN 호환가정없음,sw-q05;sw-o08;sw-o09;sw-o13;sw-o22
SW08,SW-S06,KHOA_OFFICIAL_2026_SERVICE_NOTICE,official_guidance,"올여름 바다갈 땐, 이안류지수와 해양레저지수 확인으로 안전하고 쾌적하게!",해양수산부 국립해양조사원,2026,NR,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=67092&menuSeq=971,공식운영안내,한국,2026 개장기6–9월,해수욕장 이용자·현장관리자,서비스대상10해수욕장; 연구표본아님,swim/surf,C,이안류4단계위험정보 대 별도해양레저5등급,실시간지수·CCTV·해양관측; 대상장소별운영,위험정보와관할안전조치,위험도를 현장구조대/관할지방정부에 제공하고 입욕통제에 활용; 선호검증효과 없음,안내된 서비스해변·운영기간,2026-06-23본문;이안류서비스/입욕통제/해양레저지수 문단,홍보성 운영안내; 사고감소효과 미평가,제공범위 밖을 저위험으로 간주불가; 레저지수도 과학적선호정답 아님,한국정책직접,full_text_checked,정책 권위/효과 근거 아님,관할공식출처; 효과연구와 분리,공식위험·입욕통제를 별도우선상태로 유지; 미발표는unknown,재계산없음,sw-q04;sw-o04;sw-o16
SW09,SW-S07,KMA_MOIS_PUBLIC_ACTION_GUIDANCE_lightning,official_guidance,국민행동요령-낙뢰,기상청(행정안전부정보요약),NR,NR,https://www.weather.go.kr/w/hazard/safety-guide/lightning.do,공식국민행동요령,한국,NR,일반인,해당없음,swim/surf/야외물활동,C,낙뢰예상/발생 시 야외활동,낙뢰관측시각·위치·강도; 마지막천둥후경과시간,대피·야외활동자제,번개시신속대피; 마지막천둥후최소30분대기 안내; 낙뢰는 별도특보가없는 기상정보,야외일반지침; 입수안전확률아님,낙뢰가발생할때; 낙뢰관측과예보,정책지침; 효과크기/표본없음,기상특보목록이비었다는이유로낙뢰없음판정불가;30분후자동안전보증아님,한국정책직접,full_text_checked,정책 권위/효과 근거 아님,관할지침의대피기준; 선호근거아님,뇌우를강수선호감점으로흡수하지않음; 관측/통제정보독립연결,원문시간그대로,sw-q06;sw-q09;sw-q12;sw-o15;sw-o19
SW10,SW-S08,KMA_MOIS_PUBLIC_ACTION_GUIDANCE_typhoon,official_guidance,국민행동요령-태풍,기상청(행정안전부정보요약),NR,NR,https://www.weather.go.kr/w/hazard/safety-guide/typhoon.do,공식국민행동요령,한국,NR,일반인,해당없음,swim/surf/rafting/mudflat/야외휴식,C,태풍예보·특보 중 위험지역,진로·도달시각·지역위험정보,물놀이중단·대피,물놀이등중단과위험지역이탈을안내; 특보중하천변/해안가접근금지,태풍영향지역; 활동선호점수아님,태풍예보시/태풍특보중,효과평가아님,임의강수량/풍속숫자로법적통제를대체불가,한국정책직접,full_text_checked,정책 권위/효과 근거 아님,공식행동요령,위험제한은쾌적성평균으로상쇄하지않음,수치추정없음,sw-q12;sw-o15
SW11,SW-S09,KHOA_RIP_2021_2024_overlap_prior_Choi_work_possible,empirical_peer_reviewed,국립해양조사원 이안류 위험지수의 통계적 평가 연구,최준우; 김종범,2026,10.12652/Ksce.2026.46.1.0061,https://kscejournal.or.kr/jksce/XmlViewer/f450647,기존관측기반시스템 후향적성능평가,한국9해수욕장,2021–24 개장기주간09–18시,영상판별이안류사건; 사람표본아님,해변별1460–3247시간자료; Table5의9해변,swim/해안수활동,C,확률변환위험지수 대 영상발생여부; 기후학기준,파고m·주기s·조위·파향·스펙트럼폭;2Hz/5분관측 일부입력; 1시간영상판정,AUC/BSS/POD/FAR/FPR,AUC0.92–0.99; BSS0.14–0.72; CI미보고. 개인익수확률/선호 검증아님,관측파랑기반; 제한된시나리오·고정지형,2.1–3절;Table5;6절,영상관찰자오류·자기상관작다고가정·임계값동일평가자료선택; 개발계열연구,미래예보/새해변/밤외삽불가;5.1의0.4선택과Table1Youden최대0.45/0.50불일치,한국현장이안류분류에직접; 개인안전간접,full_text_checked,중간,다년다장소검증; 독립외부검증·CI부재와표준판정오류,공식이안류정보유지; 단일파고경계로대체폐기; 자체임계복제보류,Table5범위직접확인; 해운대Youden값은Table1과본문비교; 재계산없음,ac-q14;sw-o23;sw-o24;sw-o25
SW12,SW-S10,CDC_HOT_TUB_HEALTH_GUIDANCE_2025_05_20,official_guidance,What You Can Do to Stay Healthy in Hot Tubs,Centers for Disease Control and Prevention (CDC),2025,NR,https://www.cdc.gov/healthy-swimming/safety/what-you-can-do-to-stay-healthy-in-hot-tubs.html,미국공중보건 공식이용지침; 효과실험아님,미국; 시설hot tub/spa,연중,hot tub 이용자;5세미만사용금지·임신부사용전의료진상담,해당없음; 연구표본아님,onsen 후보 중 hot tub/spa 입욕,C,hot tub 수온40°C초과 여부,시설욕조수온°C/°F; 평균시간창NR; 이용시확인,건강·상해예방을위한운영/이용상한안내,물은104°F(40°C)보다높지않아야함.5세미만은hot tub사용금지.임신부는사용전상담.효과크기/CI없음,hot tub/spa; 시간·개인별안전확률 또는 일반해수수영상한 아님,2025-05-20; Follow rules for healthy and safe use; Observe the hot tub and its surroundings,지침제시만으로임계값의실험적최적성확인불가,40°C이하도무조건안전/선호상위아님; 고령자별열임계값미제시; 한국모든온천에법적의무로확대불가,해외공식간접; 한국법령/현장운영조건 별도확인,full_text_checked,정책 권위/효과 근거 아님,현재접근가능CDC원지침; 선호의효과크기연구아님,legacy >40°C STOP은hot tub에한정한공식상한정책근거로수정유지가능; 해수수영공통상한으로쓰지않음;연령/임신주의별도,104°F와40°C는CDC병기값; 자체변환없음; >40과≥40혼동금지,sw-q13;sw-o26
SW13,SW-S11,CDC_HOT_TUB_LEGIONELLA_GUIDANCE_2025_05_28,official_guidance,About Protecting Yourself from Legionella in Hot Tubs,Centers for Disease Control and Prevention (CDC),2025,NR,https://www.cdc.gov/healthy-swimming/prevention/preventing-legionella-from-hot-tubs.html,미국공중보건 공식이용지침; 효과실험아님,미국; 시설hot tub/spa,연중,50세이상·현재/과거흡연자·만성폐질환·면역저하자,해당없음; 연구표본아님,onsen 후보 중 hot tub/spa 입욕,C,Legionnaires disease 취약군,레지오넬라오염욕조에어로졸흡입; 연령≥50년;노출시간NR,Legionnaires disease 감염위험안내,50세이상등을더취약한집단으로명시; 개인위험계수/수온별효과/CI없음,hot tub 미스트의세균감염위험; 열적쾌적성/고령자열상한연구아님,2025-05-28; Exposure; Risk factors; Prevention steps and strategies,위험안내; 직접조사결과/정량효과아님,고령위험을나이별온도감점계수로전환불가; 열관리만으로감염관리대체불가,해외공식간접; 한국법령/현장운영조건 별도확인,full_text_checked,정책 권위/효과 근거 아님,현재접근가능CDC원지침; 선호의효과크기연구아님,장비/시설소독·수질·취약군안내분리;40°C상한충족을전체안전으로표시하지않음,원문연령50years이상그대로;65세로치환안함,sw-q13;sw-o29
AC01,AC-S01,Barlow2014_39surfers_60sessions,empirical_peer_reviewed,The effect of wave conditions and surfer ability on performance and the physiological response of recreational surfers,Barlow MJ; Gresty K; Findlay M; Cooke CB; Davidson MA,2014,10.1519/JSC.0000000000000491,https://researchportal.plymouth.ac.uk/en/publications/the-effect-of-wave-conditions-and-surfer-ability-on-performance-a/,관찰; GPS·심박계,영국 연구진; 실제 조사 해변·기후 초록 미확인,NR,레크리에이션 서퍼,39명; 60세션(독립60명 아님),surf,C_related_workload (가능/안전 직접결과 아님),세션간 파랑·숙련 차이,파고·주기·숙련; 세션; 정의·단위 원문미확인,심박 부하·GPS 수행,파고와 총에너지소모 rpartial=-0.351(p≤.05); 주기와 상대평균심박 r=.490(p<.01). CI NR.,초록에서 상세 범위 미확인,"Abstract, J Strength Cond Res 28(10):2946–2953",자기선택 세션·숙련·장소; 반복세션 처리 원문 미확인,수행/생리부하 결과이며 만족·참여선택·사고율 아님,해외 간접,abstract_only,낮음,객관적 측정이나 관찰·초록한정,파고·주기·숙련 분리; 높은파고=항상 더큰생리부하라는 단조가정 보류.,원문값; 변환/재계산 없음,ac-q02;ac-o04;ac-o07
AC02,AC-S02,Boque2021_Iberia470_MayOct2020,empirical_peer_reviewed,Which Meteorological and Climatological Information Is Requested for Better Surfing Experiences? A Survey-Based Analysis,Boqué Ciurana A; Aguilar E,2021,10.3390/atmos12030293,https://www.mdpi.com/2073-4433/12/3/293,온라인 편의표본 설문,이베리아; 대서양·지중해,2020-05-19–10-17,이베리아 서핑 경험이 있는 16세 초과; SNS/서핑방송 모집,470,surf,B1_information_need (선호조건/실제선택 아님),예보변수 복수선택,파고/주기/풍향/풍속 정보 조회 여부; 회상설문; 환경노출단위 해당없음,정보조회 변수 응답비율,"조회비율 파고91.91%, 주기89.79%, 풍향85.74%, 풍속79.36%; 현지예보·숙련별 설명 수요. 확률표본 CI 아님.",초록에서 상세 범위 미확인,§2.1–2.2; §3.1/Fig3; §3.2.1,관심 높은 SNS 이용자의 선택편향; 확률표본 아님,정보 조회 비율은 효용 가중치·최적조건·실제 참여율 아님,해외 간접,full_text_checked,낮음,원자료 설문; 인식·자가보고에 한정,네 파랑·바람 변수를 자료정의 후보로 유지; 비율을 가중치로 전환하지 않기.,원문값; 변환/재계산 없음,ac-q02;ac-q12;ac-o01;ac-o06;ac-o17
AC03,AC-S03,Dolores_Vandas1990_ShelbyWhittaker1995,empirical_peer_reviewed,Flows and Recreation Quality on the Dolores River: Integrating Overall and Specific Evaluations,Shelby B; Whittaker D,1995,NR,https://site-media.americanwhitewater.org/Document_516.pdf,우편 회상·규범평가 설문,미국 Colorado Dolores Upper Canyon,NR,해당 강 경험 많은 상업/비상업 보터,128응답/170발송; 문항별 n 다름,rafting,B1; A_recalled_evaluation,같은 강에서 유량·기구별 평가,15개 제시유량150–5000cfs; 순간/일평균 집계정의NR,1–5 만족도 및 최소/최적 유량 자가평가,"보트별 선호곡선이 다름; 대형래프트 최적급류 중앙값3000cfs, 최소통항1000cfs. CI NR; 최적값은 의견분산 큼.",Dolores Upper Canyon의 경험자·보트,pp124–130; Methods; Results; Figs2–5; Table2,경험자선택·회상; 선호 보트별 하위집단; Vandas1990 프로젝트 자료 재사용,다른 하천·보트·초보자에 cfs 경계 전이 불가,해외 간접,full_text_checked,낮음,장소·기구별 평가를 직접 측정; 인과/사고 검증 없음,유량·보트·하천구간 별도; 외기온을 유량 대체값으로 쓰지 않기.,원문값; 변환/재계산 없음,ac-q06;ac-o02;ac-o10
AC04,AC-S03,Dolores_Vandas1990_ShelbyWhittaker1995,empirical_peer_reviewed,Flows and Recreation Quality on the Dolores River: Integrating Overall and Specific Evaluations,Shelby B; Whittaker D,1995,NR,https://site-media.americanwhitewater.org/Document_516.pdf,우편 회상·규범평가 설문,미국 Colorado Dolores Upper Canyon,NR,해당 강 경험 많은 상업/비상업 보터,128응답/170발송; 문항별 n 다름,rafting,C_perceived_safety (사고기반 아님),최적급류와 가장안전하다고 여긴 유량,응답자가 지정한 cfs; 시간집계NR,가장안전한 유량 설문,대형래프트 안전평가 중앙값2000cfs로 최적급류3000cfs와 구분. 위험비·사고율 미측정.,경험자의 특정하천 회상,pp124–130; Methods; Results; Figs2–5; Table2,경험자선택·회상; 선호 보트별 하위집단; Vandas1990 프로젝트 자료 재사용,다른 하천·보트·초보자에 cfs 경계 전이 불가,해외 간접,full_text_checked,낮음,장소·기구별 평가를 직접 측정; 인과/사고 검증 없음,선호곡선 최댓값을 안전등급/운영한계로 사용하지 않기.,원문값; 변환/재계산 없음,ac-q06;ac-o02;ac-o10
AC05,AC-S04,Masuda2019_Waseda12_bathing_trials,empirical_peer_reviewed,Thermal and cardiovascular responses and thermal sensation during hot-water bathing and the influence of room temperature,Masuda Y; Marui S; Kato I; Fujiki M; Nakada M; Nagashima K,2019,10.1016/j.jtherbio.2019.03.014,https://waseda.elsevierpure.com/en/publications/thermal-and-cardiovascular-responses-and-thermal-sensation-during/,동일 참가자 두 입욕 실험,일본 실험실,NR,젊은 남성7·여성5,12,onsen 후보의 온수입욕 간접모형,A_thermal_sensation,동일수온에서 방15°C 대25°C,입욕전후 실내기온°C; 물41°C×20분,시각상사척도 열감,15°C에서 탈의시 춥게 느꼈으나 입욕중 열감은 두 방온도에서 비슷함. 차이값·CI NR.,물41°C; 방15/25°C; 쇄골아래까지20분,Abstract; J Thermal Biology 82:83–89,작은 표본; 순서·다중검정 원문 미확인,광천수·노천·고령/아동·질환자·실제사고 전이 불가,해외 간접,abstract_only,낮음,통제실험이나 초록만; 범위 좁음,외기온 낮을수록 온천 선호상승이라는 단독 점수곡선 보류.,원문값; 변환/재계산 없음,ac-search1;ac-q13;ac-o03;ac-o08;ac-o15;ac-o24
AC06,AC-S04,Masuda2019_Waseda12_bathing_trials,empirical_peer_reviewed,Thermal and cardiovascular responses and thermal sensation during hot-water bathing and the influence of room temperature,Masuda Y; Marui S; Kato I; Fujiki M; Nakada M; Nagashima K,2019,10.1016/j.jtherbio.2019.03.014,https://waseda.elsevierpure.com/en/publications/thermal-and-cardiovascular-responses-and-thermal-sensation-during/,동일 참가자 두 입욕 실험,일본 실험실,NR,젊은 남성7·여성5,12,onsen 후보의 온수입욕 간접모형,C_physiology (사고/안전상한 아님),동일수온에서 방15°C 대25°C,물41°C·방15/25°C; 입욕/탈의 전환,평균동맥압·피부온·혈류,차가운 방에서 탈의중 동맥압상승·피부온저하; 입욕에 따른 혈류변화가 증대. 사고위험비·CI NR.,물41°C; 방15/25°C; 쇄골아래까지20분,Abstract; J Thermal Biology 82:83–89,작은 표본; 순서·다중검정 원문 미확인,광천수·노천·고령/아동·질환자·실제사고 전이 불가,해외 간접,abstract_only,낮음,통제실험이나 초록만; 범위 좁음,쾌적감과 생리변화 분리; 낮은기온을 안전가점으로 사용하지 않기.,원문값; 변환/재계산 없음,ac-search1;ac-q13;ac-o03;ac-o08;ac-o15;ac-o24
AC07,AC-S05,AllisonReger1998_Mayo6_random_order,empirical_peer_reviewed,Comparison of responses of men to immersion in circulating water at 40.0 and 41.5 degrees C,Allison TG; Reger WE,1998,NR,https://pubmed.ncbi.nlm.nih.gov/9737754/,순서 무작위 반복입욕; 1–3주 간격,미국 실험실,NR,건강한 성인 남성,6,onsen 후보의 온수입욕 간접모형,A_thermal_comfort,41.5°C 대40.0°C,순환수온°C; 각21분,인지된 쾌적감; 측정척도 초록NR,41.5°C에서 쾌적감 감소; 초록에 쾌적감 효과크기·CI 없음. 양 조건 모두 출탕 기립시 저혈압 보고.,순환수40.0/41.5°C;21분,Abstract Methods/Results/Conclusions; Aviat Space Environ Med69(9):845–850,n6; 인지변화·사고위험 직접측정 없음,불편감·생리지표는 안전상한 검증 아님; 아동/고령자 제외,해외 간접,abstract_only,낮음,무작위 순서 실험이나 표본 매우 작고 초록한정,수온·노출시간 없는 온천 쾌적점수 보류; 해당실험으로41.5°C 안전을 주장하지 않기.,원문값; 변환/재계산 없음,ac-search1;ac-o16
AC08,AC-S06,MorrisWebb2025_BritishIrishSurvey1368,empirical_peer_reviewed,Cut Off by the Tide: How Ocean Literacy Can Help Save Lives,Morris-Webb ES; Austin M; Cousens C; Kent N; Gosney K; Tenbrink T,2025,10.17645/oas.9793,https://www.cogitatiopress.com/oceanandsociety/article/download/9793/4313,온라인 패널 설문·조석표 해석 과제·자기보고 사건,영국·아일랜드 조차 큰 연안,월NR; Table3각주2022와 윤리승인2023 표기 불일치,연령·성별·지역 비례 패널; 해안/내륙 거주자,유효1368; 고립/근접경험207,mudflat 및 연안보행(갯벌만 표본 아님),C_tidal_literacy_and_recalled_incidents,조석표 해석과 과거고립 경험,조석표 시각·해석문항; 평생회상; 해수위/유속 실측 없음,안전귀환 문항 정답; 고립/근접경험 자기보고,섬귀환 조석표문항 정답24.3%; 고립/근접경험 약15%. 경험207명 중57%가 빠른침수를 언급. CI NR.,연안이용 일반; 현지경로 위험창 추정실험 아님,§2–3; Table1 pp9–10; §3.3/Table3 pp12–14; §4,과거 고립 자기보고·회상/해석편향; 한국 표본 아님,조석표 지식이 사고감소를 유발한다는 실험 아님; 활동별 분모 없음,해외 간접,full_text_checked,낮음,대표성 고려 패널·직접 과제; 생애경험 회상,조석시각만으로 출입가능 보장하지 않기; 경로·지형·지역통제 해석검증 필요.,원문값; 변환/재계산 없음,ac-q10;ac-o14;ac-o18;ac-o19;ac-o20;ac-o21
AC09,AC-S07,KCG_Incheon_advisory_20260327,official_guidance,"인천해경, 안전사고 위험예보 ‘관심’ 발령... 해양 안전사고 주의 당부",인천해양경찰서,2026,NR,https://kcg.go.kr/inchoncgs/na/ntt/selectNttInfo.do?nttSn=68060,지역·기간 한정 공식 위험예보,한국 인천 연안,발표2026-03-27; 적용3/31–4/8,연안 이용자,NR,mudflat,C_official_safety,대조기 예보기간,지역·대조기 기간·조차/조류 정성정보,안전예보·행동수칙,큰 조차·강한 흐름과 갯벌고립 위험을 경고하고 사전물때확인·구명조끼·2인이상 동행을 권고.,인천2026-03-31–04-08 위험예보,보도자료 본문; 등록일2026.03.27,효과크기를 측정하는 연구 아님,과거 기간 예보; 현재 통제 상태를 의미하지 않음,한국 직접; 인천·명시기간에 한정,full_text_checked,정책 권위/효과 근거 아님,관할기관의 안전정보이며 선호 연구 아님,최신 관할통제·유효기간 보존; 보편적인 간조±2시간 안전공식 근거로 쓰지 않기.,원문값; 변환/재계산 없음,ac-q04;ac-o09
AC10,AC-S08,Carolli2017_Noce_model_local_guides,index_development,Modelling white-water rafting suitability in a hydropower regulated Alpine River,Carolli M; Zolezzi G; Geneletti D; Siviglia A; Carolli F; Cainelli O,2017,10.1016/j.scitotenv.2016.11.049,https://pubmed.ncbi.nlm.nih.gov/27887836/,현지 가이드 면담 기반 수심선호곡선+수문모형,이탈리아 북동부 Noce 알프스 하천,NR,지역 래프팅 가이드; 인원 미확인,NR,rafting,C_modelled_suitability_from_B1_guides,수력발전·취수 유량시나리오,수심 주요변수; 일유량→시간내 변동 재구성; 단위·경계 미확인,적합/최적 조건 누적지속시간 RHSI,현지가이드 수심선호곡선을 수문모형과 결합; 일내 수력발전 첨두유량을 별도 재구성함. 효과크기·불확실성 초록NR.,초록에서 상세 범위 미확인,Abstract; Science of the Total Environment579:1035–1049,전문가 선호·모형가정; 현장관광객 독립검증 초록미확인,수심-유량 관계는 구간별; 한국 직접곡선/사고확률 제공 아님,해외 간접,abstract_only,낮음,관련 모델구조; 수치·검증원문 접근제한,하천유량의 하루평균을 시간추천에 직접대입하지 않기; 수심-유량/댐방류 변환모형 필요.,원문값; 변환/재계산 없음,ac-q16;ac-o22;ac-o23;ac-o25;ac-o26
AC11,AC-S09,Somo_DOW_hindcast1985_2015_Boque2022,index_development,Exploring the Climatic Potential of Somo’s Surf Spot for Tourist Destination Management,Boqué Ciurana A; Ménendez M; Suárez Bilbao M; Aguilar E,2022,10.3390/su14148496,https://www.mdpi.com/2071-1050/14/14/8496,기존 문헌기준을 파랑 hindcast에 적용한 지수개발,스페인 Somo; Cfb,1985–2015 전계절,사람 신규표본 없음; 서퍼/수영자 가정,단일지점31년 시간자료; 유효관측수NR,surf; swim 대비 위험지수,C_index_definition (개인선택/사고 검증 아님),기준으로 나눈 숙련군·수영자/서퍼,"주간 시간별 Hm0,Tp,Ws,Wd; We=Hm0²Tp; 월등가일수·일최대위험",정의한 조건에 해당하는 시간빈도·합성위험점수,Table2 파고경계0.5/0.9/1.5/3와 Tp≥6은 기존문헌의 수정적용. 독립 선택·만족·사고 검증 없음; Table3 부등호/변수표기 모호.,Somo1985–2015; 중간숙련 위험가정,"§3.2 식1–2, Tables2–3; §4.1/4.3; §5–6",선택한 경계가 결과를 정의; 실제 선호/사고 외부검증 없음,Somo 단일지점; point break/하구는 다른 접근 필요; 원조Hutt 원문 미확인,해외 간접,full_text_checked,매우 낮음,기후가용성 기술에는 유용; 개인 적합/안전 경계 타당성 미검증,임계값 한국직접전이·서핑우월 안전결론 폐기/보류; 장소·숙련 구조만 유지.,We는 원문식 그대로; kW/m 변환하지 않음. Ws 단위가 확인텍스트에 없어20의 단위 추정금지.,ac-q15;ac-q17;ac-o27;ac-o28;ac-o29;ac-o30
AC12,AC-S10,ZhangWang2013_ThreeAustralianBeachWebcams,empirical_peer_reviewed,Assessing preferences of beach users for certain aspects of weather and ocean conditions: case studies from Australia,Zhang F; Wang XH,2013 (online2012),10.1007/s00484-012-0556-4,https://link.springer.com/article/10.1007/s00484-012-0556-4,웹캠 방문객계수·회귀 관찰연구,호주 Gold Coast2해변·Sydney Bondi,해변별 수개월; 구체계절/연도 초록NR,해변 방문객; 연령/입수활동 구분 미확인,해변3개; 총관측수·고유인원 초록NR,해변방문(수영/서핑/휴식 각각의 선택 아님),B2_observed_beach_attendance,더 높은 기온과 낮은 기온,기온; 단위·시간집계 초록NR,하루3시점 웹캠 방문객계수,더 높은 기온이 방문에 유리한 조건으로 요약됨; 회귀계수·CI·상한NR.,Surfers Paradise·Narrowneck·Bondi; 전체조건범위NR,Abstract; Int J Biometeorology57:337–347,주간/계절요인 고려; 방문지 대체·휴일·접근성·계수오류 잔여교란,집단방문 상관; B1설문·A쾌적·개인수영선택·C안전 아님,해외 간접,abstract_only,낮음,관측행동이나 회귀상관·초록한정; 계수/불확실성 미확인,방문수상관을 수영선호·열쾌적성·무제한 기온가점으로 전환하지 않기.,초록보고값 그대로; 재계산/변환 없음,ac-q02;ac-q18;ac-o31;ac-o32;ac-o33;ac-o34;ac-o35
